fecha_fin_tratamiento,Frequency.6
2016-01-20,38715.0
2014-08-24,37923.0
2016-01-26,37238.0
2016-01-18,36275.0
2016-01-27,34707.0
2016-01-06,34407.0
2016-01-21,33846.0
2016-01-28,32300.0
2016-01-25,30578.0
2016-02-02,28902.0
2016-02-10,28773.0
2016-02-03,27787.0
2016-02-01,27423.0
2016-01-29,27360.0
2016-02-09,27098.0
2016-01-22,26913.0
2016-02-17,26551.0
2016-02-16,26467.0
2016-02-08,26125.0
2016-02-15,25493.0
2016-03-02,25469.0
2016-02-23,25273.0
2016-03-15,25241.0
2016-03-08,24936.0
2016-02-24,24916.0
2016-03-09,24712.0
2016-03-01,24624.0
2016-01-09,24325.0
2016-02-12,24296.0
2016-02-11,24058.0
2016-02-05,24026.0
2016-02-04,23699.0
2016-01-16,23297.0
2016-02-18,23294.0
2016-02-22,23027.0
2016-01-10,22649.0
2016-02-29,22430.0
2016-02-19,22148.0
2016-03-16,22007.0
2016-03-14,21718.0
2016-02-26,21559.0
2016-02-25,21447.0
2016-04-07,21135.0
2016-03-07,20983.0
2016-04-19,20979.0
2016-03-03,20978.0
2016-04-13,20728.0
2016-04-12,20391.0
2016-04-06,20337.0
2016-03-22,20193.0
2016-03-10,19929.0
2016-04-15,19752.0
2016-03-04,19598.0
2016-04-26,19578.0
2016-04-14,19416.0
2016-04-20,19380.0
2016-04-27,19305.0
2016-03-30,19115.0
2016-03-11,18948.0
2016-03-21,18933.0
2016-03-23,18891.0
2016-01-17,18887.0
2016-03-29,18619.0
2016-04-08,18155.0
2016-04-18,18081.0
2019-01-15,17626.0
2016-04-05,17598.0
2016-05-10,17436.0
2016-05-03,17427.0
2016-05-04,17401.0
2016-05-11,17256.0
2016-04-28,17068.0
2016-05-06,17067.0
2016-04-21,17060.0
2018-10-16,16941.0
2018-10-02,16893.0
2019-01-16,16870.0
2018-10-23,16782.0
2018-10-22,16740.0
2016-04-22,16730.0
2018-11-06,16727.0
2016-06-01,16689.0
2016-04-11,16674.0
2018-10-15,16659.0
2016-05-24,16656.0
2016-04-25,16571.0
2016-06-07,16557.0
2016-05-18,16495.0
2016-05-05,16409.0
2018-10-17,16341.0
2018-12-11,16275.0
2016-05-25,16255.0
2016-05-13,16215.0
2016-05-31,16142.0
2016-05-17,16080.0
2016-05-02,16037.0
2016-03-31,15986.0
2016-06-14,15956.0
2019-01-14,15878.0
2018-10-03,15850.0
2016-06-08,15798.0
2018-12-12,15773.0
2019-01-08,15749.0
2019-01-09,15744.0
2018-11-05,15611.0
2018-09-18,15540.0
2018-10-01,15447.0
2016-03-17,15401.0
2016-01-24,15356.0
2016-06-15,15243.0
2016-05-20,15234.0
2018-11-13,15222.0
2016-05-19,15208.0
2019-01-22,15195.0
2018-12-10,15138.0
2018-12-18,14986.0
2019-01-23,14933.0
2016-06-10,14879.0
2016-05-09,14868.0
2019-01-17,14834.0
2018-11-07,14803.0
2016-05-12,14727.0
2016-01-23,14718.0
2018-11-12,14686.0
2018-09-19,14677.0
2019-01-10,14674.0
