cod_diagnostico,Frequency.4
444.22,9467
723.4,9457
V53.31,9453
183.0,9450
I25.2,9448
285.22,9444
233.1,9440
053.19,9440
726.8,9430
80.21,9413
00040,9413
81.92,9392
493.00,9389
220,9380
V08,9369
86.28,9369
598.9,9338
372.30,9320
553.29,9312
86.4,9304
99.07,9284
461.8,9275
531.90,9269
041.3,9247
789.09,9247
4A12X45,9243
00070,9229
368.13,9223
726.4,9222
368.1,9218
296.30,9217
627.1,9216
629.9,9212
528.0,9212
478.5,9186
617.1,9174
788.43,9169
784.9,9150
669.7,9119
696.0,9098
V64.1,9089
86.07,9078
493.92,9052
F32.9,9050
680.9,9049
706.8,9045
707.07,9037
379.29,9036
924.5,9036
727.3,9024
812.00,9016
752.9,9012
96.07,8983
707.9,8975
87.62,8958
416.9,8953
367.89,8951
277.2,8950
710.0,8938
802.0,8938
289.3,8935
300.11,8933
301.3,8932
310.1,8924
440.9,8918
BY4FZZZ,8910
553.2,8910
735.4,8901
924.10,8891
574.10,8878
724.79,8859
J18.9,8859
273.8,8856
288.03,8840
375.42,8836
K44.9,8831
423.9,8828
99.24,8823
V61.1,8803
00.46,8801
618.1,8799
374.84,8794
405,8788
288.3,8771
365.11,8763
644.03,8754
V61.10,8739
728,8737
273.1,8737
757.33,8730
360.21,8730
601.1,8728
81.62,8719
781.1,8719
550.9,8715
474.00,8698
427.60,8654
65.61,8651
627,8647
375.30,8640
427,8619
410.11,8616
V15.81,8613
49.01,8595
348.8,8587
923.0,8582
47.01,8581
715.1,8580
704.2,8563
567.22,8562
812,8560
733.92,8546
188,8543
789.5,8540
717.3,8536
96.6,8533
705.1,8531
371.42,8529
3E033VJ,8524
625.9,8509
959.09,8505
366.18,8504
290.4,8504
461.1,8498
338.11,8492
569.49,8474
569.0,8473
332,8471
353.8,8464
893.0,8457
389.11,8447
286.9,8439
709,8437
V11.3,8430
250.8,8427
998.51,8425
579.0,8417
20.01,8405
662.21,8404
824.4,8395
623.5,8383
389.0,8374
676.5,8355
362.16,8346
410.41,8323
V02.61,8320
05HY33Z,8313
722.2,8308
203.00,8302
788.2,8302
381,8298
831.00,8297
590.80,8283
737.3,8283
218,8282
537.89,8281
521.00,8269
79.32,8264
V15.05,8249
1.3.03,8245
780.39,8245
77.51,8244
822.0,8240
743.9,8227
88.48,8218
1.1.03,8217
282.49,8208
780.7,8198
3E0333Z,8197
530.85,8195
V23.9,8190
365.1,8188
218.1,8167
475,8161
381.0,8160
685,8159
V52.4,8157
814.01,8153
V14.2,8138
472.2,8133
560.1,8119
771.4,8112
789.3,8099
00090,8099
041.9,8093
571.3,8085
369.00,8059
710.2,8052
959.2,8035
99.10,8005
Z88.6,7994
704.1,7982
564.5,7973
00038,7970
V10.83,7969
389.10,7963
227.0,7957
823.81,7957
461.0,7951
602.9,7946
117,7944
153.6,7937
455.4,7918
20.01.01,7913
346.00,7900
644.13,7898
440.23,7875
68.59,7875
304.2,7870
923.9,7865
300.9,7856
998.13,7852
727.40,7845
00133A,7830
86.21,7828
V20.0,7827
719.06,7819
331.9,7812
3E0R3CZ,7811
V18.51,7793
V72.32,7777
562.1,7773
666.22,7765
00054,7764
338.18,7754
528.6,7751
232.8,7738
389.20,7738
230.3,7732
919.5,7727
Z51.5,7712
H25.9,7706
458.0,7704
00102,7703
722.4,7702
707.20,7698
V24.2,7697
B28015.8,7695
00.41,7692
836.0,7691
V58.6,7687
413.9A,7681
137.0,7677
362.07,7664
Z79.02,7662
80.51,7657
718.41,7646
03.09,7643
992.0,7642
644.0,7625
709.4,7612
84.51,7607
618,7605
659.11,7597
154.0,7593
00105,7593
99.62,7565
389.00,7563
883.1,7548
557.0,7539
438.22,7536
288.00,7535
374.82,7523
759.5,7505
788.32,7500
174.4,7499
780.5,7499
596.54,7483
623.8,7477
693.1,7470
426.10,7469
922.3,7463
707.1,7461
81.83,7455
709.3,7448
427.69,7439
69.99,7423
459.89,7422
799.3,7418
99.26,7415
698.3,7414
V03.89,7403
M81.0,7402
680.5,7379
250.6,7370
780.61,7361
733.99,7361
727.4,7358
810.00,7350
522,7344
90.53,7343
51.85,7343
702,7339
727.05,7337
041.11,7332
214.8,7326
252.0,7326
V26.9,7309
I25.10,7307
342.90,7303
O48.0,7303
V58.65,7302
410.91,7295
814.00,7294
D50.9,7284
596.51,7284
00065,7282
64.0,7278
E79.0,7271
070.32,7271
89.41,7264
00086,7259
J98.8,7256
600.2,7253
850.0,7250
780.8,7247
00063,7242
471.0,7238
345.10,7236
157.9,7214
V62.9,7207
366.15,7201
535.40,7191
86.11,7191
202.80,7191
0W8NXZZ,7184
560.89,7160
K80.20,7156
789.02,7154
824.2,7151
680.0,7148
438.21,7139
53.04,7134
57.0,7125
440.2,7122
041.89,7116
078.12,7115
881.00,7113
716.1,7112
728.88,7109
621.8,7088
720.2,7082
568.0,7079
20.04.02,7046
00014,7042
346.2,7024
50,6980
550.92,6977
V26.52,6973
369.3,6970
512.8,6962
702.11,6951
362.83,6949
372.51,6942
368.00,6925
V80.1,6913
733.09,6895
831.0,6874
214.0,6861
389.14,6852
440.0,6851
70.51,6849
750.9,6843
06.4,6832
535.60,6829
88.27,6824
275.42,6816
231.2,6812
J44.1,6811
727.6,6810
V15.29,6799
305.6,6792
527.5,6781
440.20,6780
00053,6774
V45.69,6769
676.51,6764
455.2,6763
605B,6761
786.6,6751
20.05,6749
302.70,6749
96.49,6747
54.59,6743
59.79,6732
300.01,6731
416.0,6730
593.89,6729
704.02,6717
K40.90,6716
272.1G,6710
788.63,6709
53.00,6703
411.8,6701
756.6,6682
V45.78,6679
88.92,6671
00061,6664
Z99.89,6659
555.0,6658
451.0,6657
381.10,6657
921.3,6657
592.9,6653
40.23,6651
J45.909,6646
77.57,6645
635,6645
Z96.1,6630
V44.6,6608
38.91,6608
649.01,6599
389.2,6599
648.83,6598
709.2,6588
Z95.0,6573
00037,6567
21.88,6565
93.59,6562
682.0,6561
873.40,6558
4.1,6557
384.21,6557
573.9,6554
23.11,6549
00060,6544
Z3A.40,6531
94.19,6524
521.08,6519
Z3A.39,6511
658.01,6510
430,6507
88.39,6503
433.11,6490
362.02,6487
338.4,6486
676.6,6478
780.50,6458
038.42,6449
Z95.5,6446
823.00,6444
380.22,6443
557.9,6441
447.6,6433
478.29,6431
30.01.07,6431
389.21,6425
54.11,6424
88.43,6411
453.9,6401
646.11,6400
M19.90,6392
735.2,6390
V15.88,6352
701.0,6349
375.2,6346
682,6345
379.23,6342
372,6335
873.63,6335
680.2,6334
726.6,6331
394.1,6326
788.33,6324
812.0,6319
20.08.03,6312
427.1,6308
3E0F7SF,6297
437.3,6296
275.41,6292
I48.0,6284
523.9,6282
V23.85,6280
428.20,6274
332.1,6270
F17.200,6270
660.01,6262
1.2.02,6260
275.49,6259
441.9,6249
427.61,6248
4A1HXCZ,6245
45.73,6236
00005,6220
616.3,6210
682.8,6209
295.30,6205
493.91,6201
31.1,6198
Z99.81,6182
87.49,6173
V50.9,6169
384.2,6160
275.40,6159
924.00,6158
20.08.04,6157
726.31,6154
716.59,6148
368.9,6140
848.3,6124
918.1,6123
45.42,6122
389.12,6122
41.31,6109
728.84,6104
J96.00,6100
784.5,6097
070.30,6092
734,6088
387.9,6086
396.8,6082
V10.11,6080
362.56,6078
372.10,6077
V51.0,6076
Z88.8,6074
592,6071
B28015.2,6068
F41.9,6067
F10.20,6062
532.90,6058
204.10,6054
B28013.2,6033
33.22,6027
364.3,6025
722.71,6022
438.89,6014
815.0,6008
726.19,6003
